eaf_position,fwhm_px
30140,10.6956
30120,10.0648
30100,9.33704
30080,8.51509
30060,7.71881
30040,6.93112
30020,6.22948
30000,5.49068
29980,4.82298
29960,4.1785
29940,3.41418
29920,2.77393
29900,2.30189
29880,2.23179
29860,1.82542
29840,1.87021
29820,1.73841
29800,2.0871
29780,2.36526
29760,2.72899
29740,3.27792
29720,4.07875
29700,4.75769
